MienBac,18-08-2019,07111,64084,81079,44180,25723,48672,06901,57163,92297,43696,8103,9765,3309,2746,4865,4670,2965,1578,5422,6545,207,420,711,47,09,18,53
MienBac,15-08-2019,17474,61235,40921,75577,46580,93636,61352,16557,31461,61683,3891,3921,3447,4622,6853,1752,7856,3749,4139,5803,655,448,138,76,11,55,25
MienBac,14-08-2019,10584,25712,80449,61871,95739,31092,24448,99059,86140,86629,5549,5714,5045,1464,9320,6738,0663,6594,6763,0764,478,927,005,63,58,98,38
MienBac,13-08-2019,93981,78798,81390,72012,60676,92703,51168,81754,19009,64706,3402,2178,3624,2952,5199,3320,0443,7155,5766,6844,422,322,067,00,76,15,91
MienBac,12-08-2019,69859,22652,72436,02029,17968,76759,07753,46464,75093,12696,9678,1988,1847,9641,9876,1605,7312,1923,6810,1134,001,133,658,41,82,53,62
MienBac,11-08-2019,86376,93984,21586,64638,74832,44672,18135,85628,49481,78874,5305,5131,8065,2208,3827,4036,8584,4934,1343,3869,041,272,175,26,92,50,87
MienBac,08-08-2019,09562,47108,81675,61475,27123,17726,42191,95408,02437,86964,8861,0767,7519,0628,3553,5500,0892,6120,4132,3898,592,395,405,39,18,92,75
MienBac,07-08-2019,09562,47108,81675,61475,27123,17726,42191,95408,02437,86964,8861,0767,7519,0628,3553,5500,0892,6120,4132,3898,592,395,405,39,18,92,75
MienBac,06-08-2019,32648,45932,39838,57793,58556,71750,07063,83249,30303,73613,0308,8428,5036,6490,6284,0399,7641,8447,4190,8678,291,367,801,91,47,09,88
MienBac,05-08-2019,60091,47794,23649,01351,01525,96244,58845,66544,07089,54881,5191,3212,9468,3133,2676,6991,5546,2092,4536,3607,695,372,935,89,87,93,57
MienBac,04-08-2019,63132,73770,24905,87481,86252,78978,24941,65364,08644,93306,7829,7239,3687,9573,4853,7912,9237,9094,0678,7810,925,254,889,31,75,32,52
MienBac,03-08-2019,25333,65118,44155,89458,93082,44886,45770,05022,72885,32612,7039,2137,1894,2174,6167,0262,4508,9252,6533,0582,491,214,196,37,88,69,05
MienBac,02-08-2019,82782,94045,58669,38238,58894,16322,06079,83344,28577,43240,2671,0191,2612,0256,2372,1144,3751,7444,1619,3121,053,278,929,91,68,79,63
MienBac,01-08-2019,05356,75468,75794,65136,47922,88612,41265,88785,13362,22868,3501,1356,8661,6292,5537,7741,7724,5150,7117,8650,316,635,795,05,20,17,14
MienBac,31-07-2019,56690,61312,01899,77922,56343,09926,22930,45231,27381,33946,7026,0286,2385,9151,3633,6380,3266,8589,9112,2857,504,699,709,03,36,18,12
MienBac,30-07-2019,51357,62294,80318,93442,89874,97818,41969,38205,39390,89726,5275,7157,5025,0719,5947,3963,2830,5881,3621,5768,447,132,928,95,39,67,30
MienBac,29-07-2019,79918,59307,53561,87015,94889,19019,58537,76548,57392,80953,9614,3325,8583,4085,9771,7380,5939,1547,3980,2897,984,511,157,77,74,64,45
MienBac,28-07-2019,59008,46054,27425,31871,70413,87149,00756,40724,83952,15252,8592,7791,5269,8735,6488,7283,2578,1631,5869,4144,592,730,069,16,93,30,11
MienBac,27-07-2019,65694,80171,29886,20697,73992,57837,06218,01454,18892,58660,0217,3988,6633,3443,9978,9822,4820,0849,7633,8702,492,096,051,74,33,10,17
MienBac,26-07-2019,97420,62976,27803,11950,23770,54417,55999,91552,41424,49853,9831,7559,3632,5495,1973,9950,9703,5003,3317,8155,006,441,643,30,42,05,06
MienBac,25-07-2019,22382,22363,02040,20422,59456,61772,61355,71878,76971,71593,8172,3522,4330,4218,1582,3022,8411,9644,8602,0930,439,605,607,64,35,34,96
MienBac,24-07-2019,54161,94599,37929,54400,27521,89059,26682,04133,14847,09088,1922,1105,8700,2063,3817,1485,4149,4164,4405,4701,592,535,619,08,92,49,42
MienBac,23-07-2019,75074,70690,57421,39771,08552,78377,22617,24222,50628,05443,9116,7809,1641,9324,6255,3976,1585,6748,5523,4111,215,516,245,57,22,64,56
MienBac,22-07-2019,12598,99924,95208,65308,02590,80260,59726,05537,51947,27843,0817,8796,6716,1758,2521,6536,9324,4183,0484,9097,415,152,400,03,29,27,79
